Postcode,Dwelling Types,Number of Bedrooms,"First Quartile Weekly Rent for New Bonds
$","Median Weekly Rent for New Bonds
$","Third Quartile Weekly Rent for New Bonds
$","New Bonds Lodged
No.","Total Bonds Held
No.",Quarterly change in Median Weekly Rent,Annual change in Median Weekly Rent,Quarterly change in New Bonds Lodged,Annual change in New Bonds Lodged
2008,Total,4 or more Bedrooms,-,-,-,-,142,-,-,-,-
2008,House,Total,611,850,1116,38,458,7.59%,3.66%,-81.64%,-19.15%
2008,House,Bedsitter,-,-,-,-,s,-,-,-,-
2008,House,1 Bedroom,600,600,671,s,99,-3.23%,-1.64%,-40.74%,100.00%
2008,House,Not Specified,-,-,-,-,s,-,-,-,-
2008,House,2 Bedrooms,-,-,-,-,133,-,-,-,-
2008,House,3 Bedrooms,-,-,-,-,106,-,-,-,-
2008,House,4 or more Bedrooms,-,-,-,-,90,-,-,-,-
2008,Other,Total,425,569,679,527,944,-12.46%,16.12%,2008.00%,374.77%
2008,Other,Bedsitter,-,-,-,-,70,-,-,-,-
2008,Other,1 Bedroom,425,569,679,518,710,-8.74%,11.57%,3137.50%,407.84%
2008,Other,Not Specified,-,-,-,-,121,-,-,-,-
2008,Other,2 Bedrooms,-,-,-,-,s,-,-,-,-
2008,Other,3 Bedrooms,-,-,-,-,-,-,-,-,-
2008,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2008,Townhouse,Total,678,950,1005,s,181,131.71%,70.40%,20.00%,-45.45%
2008,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-
2008,Townhouse,1 Bedroom,-,-,-,-,s,-,-,-,-
2008,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
2008,Townhouse,2 Bedrooms,-,-,-,-,58,-,-,-,-
2008,Townhouse,3 Bedrooms,-,-,-,-,48,-,-,-,-
2008,Townhouse,4 or more Bedrooms,-,-,-,-,41,-,-,-,-
2008,Flat/Unit,Total,617,730,845,647,"4,139",12.31%,31.77%,-17.47%,12.33%
2008,Flat/Unit,Bedsitter,420,450,730,s,139,-14.29%,7.78%,10.00%,-60.71%
2008,Flat/Unit,1 Bedroom,608,684,800,521,"3,038",9.62%,24.36%,-18.08%,13.26%
2008,Flat/Unit,Not Specified,-,-,-,-,79,-,-,-,-
2008,Flat/Unit,2 Bedrooms,845,900,1121,96,775,-10.22%,12.50%,-2.04%,23.08%
2008,Flat/Unit,3 Bedrooms,1250,1400,1500,s,103,.00%,61.85%,-26.67%,83.33%
2008,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2009,Total,Total,700,850,1000,372,"3,474",.00%,21.43%,7.83%,8.77%
2009,Total,Bedsitter,-,-,-,-,33,-,-,-,-
2009,Total,1 Bedroom,620,660,725,117,"1,040",6.02%,20.00%,62.50%,4.46%
2009,Total,Not Specified,-,-,-,-,106,-,-,-,-
2009,Total,2 Bedrooms,850,900,1000,185,"1,835",.00%,20.00%,36.03%,5.71%
2009,Total,3 Bedrooms,1180,1400,1605,55,428,-1.75%,37.93%,30.95%,37.50%
2009,Total,4 or more Bedrooms,-,-,-,-,32,-,-,-,-
2009,House,Total,710,870,1100,s,152,2.35%,26.09%,-73.86%,109.09%
2009,House,Bedsitter,-,-,-,-,-,-,-,-,-
2009,House,1 Bedroom,-,-,-,-,31,-,-,-,-
2009,House,Not Specified,-,-,-,-,s,-,-,-,-
2009,House,2 Bedrooms,-,-,-,-,69,-,-,-,-
2009,House,3 Bedrooms,-,-,-,-,31,-,-,-,-
2009,House,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2009,Other,Total,363,750,830,s,134,47.78%,36.36%,275.00%,114.29%
2009,Other,Bedsitter,-,-,-,-,-,-,-,-,-
2009,Other,1 Bedroom,-,-,-,-,45,-,-,-,-
2009,Other,Not Specified,-,-,-,-,s,-,-,-,-
2009,Other,2 Bedrooms,-,-,-,-,50,-,-,-,-
2009,Other,3 Bedrooms,-,-,-,-,-,-,-,-,-
2009,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2009,Townhouse,Total,-,-,-,-,93,-,-,-,-
2009,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
2009,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
2009,Townhouse,2 Bedrooms,-,-,-,-,48,-,-,-,-
2009,Townhouse,3 Bedrooms,-,-,-,-,s,-,-,-,-
2009,Townhouse,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2009,Flat/Unit,Total,700,850,1000,331,"3,095",.00%,22.30%,36.21%,5.75%
2009,Flat/Unit,Bedsitter,-,-,-,-,s,-,-,-,-
2009,Flat/Unit,1 Bedroom,621,668,724,106,957,4.71%,21.36%,65.63%,-.93%
2009,Flat/Unit,Not Specified,-,-,-,-,63,-,-,-,-
2009,Flat/Unit,2 Bedrooms,850,900,1000,170,"1,668",-1.37%,20.00%,39.34%,2.41%
2009,Flat/Unit,3 Bedrooms,1240,1425,1700,44,369,1.79%,42.14%,15.79%,37.50%
2009,Flat/Unit,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2010,Total,Total,570,720,900,789,"8,911",2.86%,20.00%,-5.85%,-2.47%
2010,Total,Bedsitter,360,450,520,69,776,.00%,26.76%,23.21%,9.52%
2010,Total,1 Bedroom,525,650,750,428,"4,175",4.00%,23.81%,21.59%,-4.25%
2010,Total,Not Specified,-,-,-,-,520,-,-,-,-
2010,Total,2 Bedrooms,800,900,1075,208,"2,485",-1.64%,9.76%,38.67%,-2.35%
2010,Total,3 Bedrooms,1100,1200,1400,54,645,-4.38%,20.00%,8.00%,.00%
2010,Total,4 or more Bedrooms,1250,1420,1600,s,310,-5.33%,27.35%,42.11%,12.50%
2010,House,Total,810,1000,1300,107,"1,150",25.00%,25.00%,-60.81%,20.22%
2010,House,Bedsitter,-,-,-,-,65,-,-,-,-
2010,House,1 Bedroom,428,575,795,s,220,4.55%,5.99%,-25.00%,-18.18%
2010,House,Not Specified,-,-,-,-,32,-,-,-,-
2010,House,2 Bedrooms,808,888,988,34,363,-1.39%,10.94%,-2.86%,21.43%
2010,House,3 Bedrooms,1095,1200,1400,s,280,-7.69%,22.14%,20.83%,20.83%
2010,House,4 or more Bedrooms,1250,1420,1600,s,190,-5.33%,38.54%,64.29%,91.67%
2010,Other,Total,69,111,475,s,712,-77.53%,-65.77%,100.00%,60.00%
2010,Other,Bedsitter,61,73,108,s,162,3.57%,-73.64%,366.67%,75.00%
2010,Other,1 Bedroom,-,-,-,-,174,-,-,-,-
2010,Other,Not Specified,-,-,-,-,282,-,-,-,-
2010,Other,2 Bedrooms,-,-,-,-,69,-,-,-,-
2010,Other,3 Bedrooms,-,-,-,-,s,-,-,-,-
2010,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
