Postcode,Dwelling Types,Number of Bedrooms,"First Quartile Weekly Rent for New Bonds
$","Median Weekly Rent for New Bonds
$","Third Quartile Weekly Rent for New Bonds
$","New Bonds Lodged
No.","Total Bonds Held
No.",Quarterly change in Median Weekly Rent,Annual change in Median Weekly Rent,Quarterly change in New Bonds Lodged,Annual change in New Bonds Lodged
2113,Other,Bedsitter,-,-,-,-,-,-,-,-,-
2113,Other,1 Bedroom,-,-,-,-,42,-,-,-,-
2113,Other,Not Specified,-,-,-,-,s,-,-,-,-
2113,Other,2 Bedrooms,-,-,-,-,43,-,-,-,-
2113,Other,3 Bedrooms,-,-,-,-,s,-,-,-,-
2113,Other,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2113,Townhouse,Total,670,800,1050,s,241,8.11%,18.08%,-10.53%,-15.00%
2113,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
2113,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
2113,Townhouse,2 Bedrooms,-,-,-,-,73,-,-,-,-
2113,Townhouse,3 Bedrooms,-,-,-,-,110,-,-,-,-
2113,Townhouse,4 or more Bedrooms,-,-,-,-,51,-,-,-,-
2113,Flat/Unit,Total,625,680,820,465,"4,060",4.21%,24.77%,9.15%,-15.91%
2113,Flat/Unit,Bedsitter,-,-,-,-,s,-,-,-,-
2113,Flat/Unit,1 Bedroom,620,650,671,224,"1,775",8.33%,27.45%,19.79%,-16.42%
2113,Flat/Unit,Not Specified,-,-,-,-,s,-,-,-,-
2113,Flat/Unit,2 Bedrooms,733,800,870,214,"2,077",5.26%,20.75%,10.88%,-17.05%
2113,Flat/Unit,3 Bedrooms,900,980,1100,s,153,-10.91%,7.10%,-8.70%,-12.50%
2113,Flat/Unit,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2114,Total,Total,493,590,730,322,"4,402",7.27%,23.56%,-16.36%,-24.41%
2114,Total,Bedsitter,-,-,-,-,48,-,-,-,-
2114,Total,1 Bedroom,420,550,590,110,"1,214",10.00%,29.41%,26.44%,-23.61%
2114,Total,Not Specified,-,-,-,-,85,-,-,-,-
2114,Total,2 Bedrooms,500,600,720,141,"2,155",9.09%,26.32%,13.71%,-32.86%
2114,Total,3 Bedrooms,663,820,915,50,668,6.49%,17.14%,31.58%,-1.96%
2114,Total,4 or more Bedrooms,875,1000,1050,s,232,2.56%,17.65%,-29.17%,.00%
2114,House,Total,615,730,875,55,633,19.67%,10.61%,-58.33%,5.77%
2114,House,Bedsitter,-,-,-,-,-,-,-,-,-
2114,House,1 Bedroom,-,-,-,-,38,-,-,-,-
2114,House,Not Specified,-,-,-,-,s,-,-,-,-
2114,House,2 Bedrooms,530,600,695,s,125,9.09%,1.69%,160.00%,44.44%
2114,House,3 Bedrooms,650,730,830,s,275,-2.67%,9.77%,56.25%,13.64%
2114,House,4 or more Bedrooms,856,1000,1050,s,170,9.89%,17.65%,-22.22%,-12.50%
2114,Other,Total,-,-,-,-,245,-,-,-,-
2114,Other,Bedsitter,-,-,-,-,-,-,-,-,-
2114,Other,1 Bedroom,-,-,-,-,45,-,-,-,-
2114,Other,Not Specified,-,-,-,-,s,-,-,-,-
2114,Other,2 Bedrooms,-,-,-,-,84,-,-,-,-
2114,Other,3 Bedrooms,-,-,-,-,66,-,-,-,-
2114,Other,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2114,Townhouse,Total,-,-,-,-,179,-,-,-,-
2114,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
2114,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
2114,Townhouse,2 Bedrooms,-,-,-,-,34,-,-,-,-
2114,Townhouse,3 Bedrooms,-,-,-,-,106,-,-,-,-
2114,Townhouse,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2114,Flat/Unit,Total,475,570,680,249,"3,345",7.55%,25.27%,7.33%,-28.24%
2114,Flat/Unit,Bedsitter,-,-,-,-,34,-,-,-,-
2114,Flat/Unit,1 Bedroom,420,550,590,107,"1,124",10.00%,27.91%,38.96%,-17.05%
2114,Flat/Unit,Not Specified,-,-,-,-,37,-,-,-,-
2114,Flat/Unit,2 Bedrooms,500,600,720,124,"1,912",9.09%,30.43%,10.71%,-37.06%
2114,Flat/Unit,3 Bedrooms,750,925,985,s,221,8.82%,23.33%,23.08%,-15.79%
2114,Flat/Unit,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2115,Total,Total,623,680,765,79,998,2.26%,23.64%,-16.84%,-12.22%
2115,Total,Bedsitter,-,-,-,-,-,-,-,-,-
2115,Total,1 Bedroom,365,430,445,s,106,-9.47%,17.81%,57.14%,10.00%
2115,Total,Not Specified,-,-,-,-,s,-,-,-,-
2115,Total,2 Bedrooms,618,650,680,31,360,.00%,18.18%,19.23%,-3.12%
2115,Total,3 Bedrooms,650,720,750,s,287,6.67%,33.33%,23.53%,-8.70%
2115,Total,4 or more Bedrooms,960,1065,1219,s,222,12.11%,18.33%,-15.79%,-27.27%
2115,House,Total,640,730,990,35,414,4.29%,20.16%,-32.69%,-7.89%
2115,House,1 Bedroom,-,-,-,-,s,-,-,-,-
2115,House,Not Specified,-,-,-,-,-,-,-,-,-
2115,House,2 Bedrooms,-,-,-,-,51,-,-,-,-
2115,House,3 Bedrooms,650,695,750,s,198,2.96%,33.65%,55.56%,-17.65%
2115,House,4 or more Bedrooms,995,1090,1219,s,150,3.81%,21.11%,-20.00%,-33.33%
2115,Other,Total,-,-,-,-,50,-,-,-,-
2115,Other,1 Bedroom,-,-,-,-,s,-,-,-,-
2115,Other,Not Specified,-,-,-,-,-,-,-,-,-
2115,Other,2 Bedrooms,-,-,-,-,s,-,-,-,-
2115,Other,3 Bedrooms,-,-,-,-,-,-,-,-,-
2115,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2115,Townhouse,Total,-,-,-,-,133,-,-,-,-
2115,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
2115,Townhouse,2 Bedrooms,-,-,-,-,s,-,-,-,-
2115,Townhouse,3 Bedrooms,-,-,-,-,54,-,-,-,-
2115,Townhouse,4 or more Bedrooms,-,-,-,-,57,-,-,-,-
2115,Flat/Unit,Total,554,650,683,s,401,.00%,18.18%,-12.50%,-9.68%
2115,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-
2115,Flat/Unit,1 Bedroom,-,-,-,-,83,-,-,-,-
2115,Flat/Unit,Not Specified,-,-,-,-,-,-,-,-,-
2115,Flat/Unit,2 Bedrooms,630,680,690,s,273,4.62%,20.35%,5.00%,-4.55%
2115,Flat/Unit,3 Bedrooms,-,-,-,-,s,-,-,-,-
2115,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2116,Total,Total,476,590,715,42,624,7.27%,11.32%,-28.81%,-31.15%
2116,Total,Bedsitter,-,-,-,-,-,-,-,-,-
2116,Total,1 Bedroom,-,-,-,-,67,-,-,-,-
2116,Total,Not Specified,-,-,-,-,s,-,-,-,-
2116,Total,2 Bedrooms,450,495,573,s,173,-1.98%,7.03%,-22.22%,-22.22%
2116,Total,3 Bedrooms,613,665,738,s,258,18.75%,12.71%,-17.65%,-33.33%
2116,Total,4 or more Bedrooms,-,-,-,-,110,-,-,-,-
2116,House,Total,650,750,900,s,254,31.58%,20.97%,-46.87%,-19.05%
2116,House,Bedsitter,-,-,-,-,-,-,-,-,-
2116,House,1 Bedroom,-,-,-,-,-,-,-,-,-
2116,House,Not Specified,-,-,-,-,-,-,-,-,-
2116,House,2 Bedrooms,-,-,-,-,51,-,-,-,-
2116,House,3 Bedrooms,-,-,-,-,115,-,-,-,-
2116,House,4 or more Bedrooms,-,-,-,-,77,-,-,-,-
2116,Other,Total,-,-,-,-,s,-,-,-,-
2116,Other,1 Bedroom,-,-,-,-,-,-,-,-,-
2116,Other,Not Specified,-,-,-,-,-,-,-,-,-
2116,Other,2 Bedrooms,-,-,-,-,-,-,-,-,-
2116,Other,3 Bedrooms,-,-,-,-,-,-,-,-,-
2116,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2116,Townhouse,Total,-,-,-,-,127,-,-,-,-
2116,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
2116,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
2116,Townhouse,2 Bedrooms,-,-,-,-,-,-,-,-,-
2116,Townhouse,3 Bedrooms,-,-,-,-,88,-,-,-,-
2116,Townhouse,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2116,Flat/Unit,Total,450,480,530,s,220,-5.88%,20.00%,-17.39%,-13.64%
2116,Flat/Unit,1 Bedroom,-,-,-,-,55,-,-,-,-
2116,Flat/Unit,Not Specified,-,-,-,-,-,-,-,-,-
2116,Flat/Unit,2 Bedrooms,450,500,585,s,110,-3.38%,5.26%,.00%,33.33%
2116,Flat/Unit,3 Bedrooms,-,-,-,-,50,-,-,-,-
2116,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2117,Total,Total,540,600,740,121,"1,846",.00%,13.21%,-28.82%,-21.94%
2117,Total,Bedsitter,-,-,-,-,-,-,-,-,-
2117,Total,1 Bedroom,408,450,540,s,135,19.21%,32.35%,-31.25%,-47.62%
2117,Total,Not Specified,-,-,-,-,62,-,-,-,-
2117,Total,2 Bedrooms,501,545,568,42,546,12.37%,22.47%,31.25%,-8.70%
2117,Total,3 Bedrooms,625,680,740,43,689,4.62%,11.48%,-20.37%,-20.37%
2117,Total,4 or more Bedrooms,785,900,1050,s,406,5.88%,20.00%,-20.69%,-25.81%
2117,House,Total,550,650,850,56,699,.00%,4.00%,-37.78%,7.69%
2117,House,Bedsitter,-,-,-,-,-,-,-,-,-
2117,House,1 Bedroom,-,-,-,-,-,-,-,-,-
2117,House,Not Specified,-,-,-,-,s,-,-,-,-
2117,House,2 Bedrooms,530,550,565,s,102,15.79%,25.00%,175.00%,37.50%
2117,House,3 Bedrooms,598,650,715,s,284,6.56%,13.04%,-21.43%,-8.33%
2117,House,4 or more Bedrooms,775,1000,1075,s,277,17.65%,33.33%,-9.52%,.00%
2117,Other,Total,-,-,-,-,105,-,-,-,-
2117,Other,Bedsitter,-,-,-,-,-,-,-,-,-
2117,Other,1 Bedroom,-,-,-,-,-,-,-,-,-
2117,Other,Not Specified,-,-,-,-,s,-,-,-,-
2117,Other,2 Bedrooms,-,-,-,-,s,-,-,-,-
2117,Other,3 Bedrooms,-,-,-,-,35,-,-,-,-
2117,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2117,Townhouse,Total,700,740,765,s,494,5.71%,21.31%,-41.94%,-55.00%
2117,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-
2117,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
2117,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
2117,Townhouse,2 Bedrooms,-,-,-,-,94,-,-,-,-
2117,Townhouse,3 Bedrooms,700,740,750,s,274,5.71%,21.31%,-13.33%,-35.00%
2117,Townhouse,4 or more Bedrooms,-,-,-,-,113,-,-,-,-
2117,Flat/Unit,Total,470,540,575,43,548,14.89%,25.58%,-8.51%,-23.21%
2117,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-
2117,Flat/Unit,1 Bedroom,-,-,-,-,109,-,-,-,-
2117,Flat/Unit,Not Specified,-,-,-,-,-,-,-,-,-
2117,Flat/Unit,2 Bedrooms,485,540,565,s,325,12.50%,21.35%,22.73%,-3.57%
2117,Flat/Unit,3 Bedrooms,-,-,-,-,96,-,-,-,-
2117,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2118,Total,Total,580,640,724,234,"2,813",6.67%,20.75%,-15.22%,-3.31%
2118,Total,Bedsitter,-,-,-,-,-,-,-,-,-
2118,Total,1 Bedroom,475,520,530,s,211,8.33%,18.18%,15.79%,10.00%
2118,Total,Not Specified,-,-,-,-,60,-,-,-,-
2118,Total,2 Bedrooms,580,620,650,125,"1,264",7.36%,24.00%,25.00%,-.79%
2118,Total,3 Bedrooms,680,730,770,57,813,8.96%,15.87%,5.56%,5.56%
2118,Total,4 or more Bedrooms,790,873,950,s,462,2.65%,11.15%,-22.22%,-30.00%
2118,House,Total,650,750,874,58,801,10.29%,7.14%,-48.21%,5.45%
2118,House,Bedsitter,-,-,-,-,-,-,-,-,-
2118,House,1 Bedroom,-,-,-,-,s,-,-,-,-
2118,House,Not Specified,-,-,-,-,s,-,-,-,-
2118,House,2 Bedrooms,-,-,-,-,78,-,-,-,-
2118,House,3 Bedrooms,635,695,765,s,306,12.10%,6.92%,9.52%,35.29%
2118,House,4 or more Bedrooms,770,868,938,s,382,-.29%,10.51%,-10.34%,-13.33%
2118,Other,Total,-,-,-,-,130,-,-,-,-
2118,Other,Bedsitter,-,-,-,-,-,-,-,-,-
2118,Other,1 Bedroom,-,-,-,-,-,-,-,-,-
2118,Other,Not Specified,-,-,-,-,s,-,-,-,-
2118,Other,2 Bedrooms,-,-,-,-,49,-,-,-,-
2118,Other,3 Bedrooms,-,-,-,-,s,-,-,-,-
2118,Other,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2118,Townhouse,Total,680,720,830,s,294,1.41%,20.00%,-22.73%,-26.09%
2118,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
2118,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
2118,Townhouse,2 Bedrooms,-,-,-,-,34,-,-,-,-
2118,Townhouse,3 Bedrooms,710,730,815,s,196,4.29%,21.67%,37.50%,.00%
2118,Townhouse,4 or more Bedrooms,-,-,-,-,60,-,-,-,-
2118,Flat/Unit,Total,550,620,650,151,"1,588",6.90%,21.57%,9.42%,-3.21%
2118,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-
2118,Flat/Unit,1 Bedroom,500,525,540,s,186,7.14%,19.32%,6.25%,-5.56%
2118,Flat/Unit,Not Specified,-,-,-,-,-,-,-,-,-
2118,Flat/Unit,2 Bedrooms,583,620,650,111,"1,103",6.90%,22.77%,24.72%,.91%
2118,Flat/Unit,3 Bedrooms,710,750,760,s,282,9.49%,19.05%,-4.17%,-11.54%
2118,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2119,Total,Total,608,800,1000,50,590,.00%,11.11%,4.17%,16.28%
2119,Total,Bedsitter,-,-,-,-,-,-,-,-,-
2119,Total,1 Bedroom,-,-,-,-,100,-,-,-,-
2119,Total,Not Specified,-,-,-,-,s,-,-,-,-
2119,Total,2 Bedrooms,535,685,723,s,144,-.72%,14.17%,200.00%,114.29%
2119,Total,3 Bedrooms,845,920,999,s,145,15.00%,23.08%,114.29%,25.00%
2119,Total,4 or more Bedrooms,1050,1250,1350,s,180,32.28%,31.58%,-23.53%,-13.33%
2119,House,Total,850,998,1200,s,287,17.41%,24.75%,-34.29%,-4.17%
2119,House,1 Bedroom,-,-,-,-,-,-,-,-,-
2119,House,Not Specified,-,-,-,-,-,-,-,-,-
2119,House,2 Bedrooms,-,-,-,-,s,-,-,-,-
2119,House,3 Bedrooms,-,-,-,-,98,-,-,-,-
2119,House,4 or more Bedrooms,1000,1200,1388,s,166,26.98%,37.93%,-29.41%,-7.69%
2119,Other,Total,-,-,-,-,39,-,-,-,-
2119,Other,Bedsitter,-,-,-,-,-,-,-,-,-
2119,Other,1 Bedroom,-,-,-,-,-,-,-,-,-
2119,Other,Not Specified,-,-,-,-,s,-,-,-,-
2119,Other,2 Bedrooms,-,-,-,-,-,-,-,-,-
2119,Other,3 Bedrooms,-,-,-,-,-,-,-,-,-
2119,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2119,Townhouse,Total,-,-,-,-,s,-,-,-,-
2119,Townhouse,2 Bedrooms,-,-,-,-,-,-,-,-,-
2119,Townhouse,3 Bedrooms,-,-,-,-,s,-,-,-,-
2119,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2119,Flat/Unit,Total,550,688,760,s,239,29.72%,21.68%,140.00%,33.33%
2119,Flat/Unit,1 Bedroom,-,-,-,-,93,-,-,-,-
2119,Flat/Unit,Not Specified,-,-,-,-,-,-,-,-,-
2119,Flat/Unit,2 Bedrooms,550,690,725,s,116,-.72%,15.00%,225.00%,85.71%
2119,Flat/Unit,3 Bedrooms,-,-,-,-,s,-,-,-,-
2119,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2120,Total,Total,525,663,804,108,"1,283",12.29%,20.45%,.93%,5.88%
2120,Total,Bedsitter,-,-,-,-,-,-,-,-,-
2120,Total,1 Bedroom,353,445,510,s,180,12.66%,36.92%,37.50%,46.67%
2120,Total,Not Specified,-,-,-,-,51,-,-,-,-
2120,Total,2 Bedrooms,540,590,650,33,347,7.27%,22.92%,13.79%,-5.71%
2120,Total,3 Bedrooms,685,750,790,s,411,-4.46%,7.14%,92.86%,.00%
2120,Total,4 or more Bedrooms,830,920,1250,s,289,.00%,-4.66%,47.06%,25.00%
2120,House,Total,671,785,928,58,662,3.97%,8.65%,3.57%,26.09%
2120,House,Bedsitter,-,-,-,-,-,-,-,-,-
2120,House,1 Bedroom,-,-,-,-,s,-,-,-,-
2120,House,Not Specified,-,-,-,-,s,-,-,-,-
2120,House,2 Bedrooms,555,595,655,s,87,20.81%,19.00%,100.00%,140.00%
2120,House,3 Bedrooms,685,740,805,s,272,-7.50%,5.71%,171.43%,-17.39%
2120,House,4 or more Bedrooms,830,920,1250,s,268,-1.60%,-4.66%,56.25%,38.89%
2120,Other,Total,-,-,-,-,69,-,-,-,-
2120,Other,Bedsitter,-,-,-,-,-,-,-,-,-
2120,Other,1 Bedroom,-,-,-,-,s,-,-,-,-
2120,Other,Not Specified,-,-,-,-,s,-,-,-,-
2120,Other,2 Bedrooms,-,-,-,-,s,-,-,-,-
2120,Other,3 Bedrooms,-,-,-,-,s,-,-,-,-
2120,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2120,Townhouse,Total,-,-,-,-,144,-,-,-,-
2120,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
2120,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
2120,Townhouse,2 Bedrooms,-,-,-,-,s,-,-,-,-
2120,Townhouse,3 Bedrooms,-,-,-,-,97,-,-,-,-
2120,Townhouse,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2120,Flat/Unit,Total,480,510,590,37,408,-2.86%,13.33%,-7.50%,-19.57%
2120,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-
2120,Flat/Unit,1 Bedroom,420,495,510,s,139,16.47%,58.40%,41.67%,21.43%
2120,Flat/Unit,Not Specified,-,-,-,-,s,-,-,-,-
2120,Flat/Unit,2 Bedrooms,533,590,628,s,222,6.31%,22.92%,.00%,-30.77%
2120,Flat/Unit,3 Bedrooms,-,-,-,-,s,-,-,-,-
2120,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2121,Total,Total,600,700,780,429,"4,423",7.69%,20.69%,-12.98%,-21.28%
2121,Total,Bedsitter,-,-,-,-,s,-,-,-,-
2121,Total,1 Bedroom,563,600,630,115,786,9.09%,22.45%,19.79%,5.50%
2121,Total,Not Specified,-,-,-,-,61,-,-,-,-
2121,Total,2 Bedrooms,665,710,755,211,"2,253",10.08%,22.41%,8.21%,-28.96%
2121,Total,3 Bedrooms,715,840,935,59,851,12.00%,20.00%,11.32%,-35.16%
2121,Total,4 or more Bedrooms,850,1000,1200,36,451,1.52%,11.11%,12.50%,-20.00%
2121,House,Total,650,825,993,70,870,23.13%,10.00%,-53.95%,-19.54%
2121,House,Bedsitter,-,-,-,-,-,-,-,-,-
2121,House,1 Bedroom,-,-,-,-,s,-,-,-,-
2121,House,Not Specified,-,-,-,-,s,-,-,-,-
2121,House,2 Bedrooms,-,-,-,-,119,-,-,-,-
2121,House,3 Bedrooms,665,810,900,s,341,14.08%,14.89%,36.84%,-18.75%
2121,House,4 or more Bedrooms,860,1050,1200,s,358,9.38%,14.13%,31.82%,-25.64%
2121,Other,Total,-,-,-,-,130,-,-,-,-
2121,Other,1 Bedroom,-,-,-,-,s,-,-,-,-
2121,Other,Not Specified,-,-,-,-,s,-,-,-,-
2121,Other,2 Bedrooms,-,-,-,-,56,-,-,-,-
2121,Other,3 Bedrooms,-,-,-,-,s,-,-,-,-
2121,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2121,Townhouse,Total,803,870,955,s,225,16.00%,28.41%,-29.41%,-45.45%
2121,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
2121,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
2121,Townhouse,2 Bedrooms,-,-,-,-,37,-,-,-,-
2121,Townhouse,3 Bedrooms,-,-,-,-,120,-,-,-,-
2121,Townhouse,4 or more Bedrooms,-,-,-,-,62,-,-,-,-
2121,Flat/Unit,Total,600,680,750,340,"3,198",9.68%,23.64%,6.58%,-19.62%
2121,Flat/Unit,Bedsitter,-,-,-,-,s,-,-,-,-
2121,Flat/Unit,1 Bedroom,570,600,630,102,722,9.09%,22.45%,17.24%,.00%
2121,Flat/Unit,Not Specified,-,-,-,-,s,-,-,-,-
2121,Flat/Unit,2 Bedrooms,670,720,760,200,"2,041",10.77%,23.61%,9.29%,-27.01%
2121,Flat/Unit,3 Bedrooms,750,840,968,s,375,7.69%,20.00%,20.00%,-30.23%
2121,Flat/Unit,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2122,Total,Total,550,670,800,254,"3,579",8.06%,26.42%,-30.41%,-18.59%
2122,Total,Bedsitter,-,-,-,-,s,-,-,-,-
2122,Total,1 Bedroom,398,500,583,s,346,14.29%,11.11%,.00%,-22.22%
2122,Total,Not Specified,-,-,-,-,86,-,-,-,-
2122,Total,2 Bedrooms,550,610,690,129,"1,865",10.91%,27.08%,-5.84%,-14.57%
2122,Total,3 Bedrooms,723,790,850,56,823,6.76%,17.91%,-17.65%,-16.42%
2122,Total,4 or more Bedrooms,865,1100,1300,39,448,13.11%,22.22%,-18.75%,-26.42%
2122,House,Total,650,850,1100,61,800,19.30%,6.25%,-57.64%,-27.38%
2122,House,Bedsitter,-,-,-,-,-,-,-,-,-
2122,House,1 Bedroom,-,-,-,-,s,-,-,-,-
2122,House,Not Specified,-,-,-,-,s,-,-,-,-
2122,House,2 Bedrooms,-,-,-,-,126,-,-,-,-
2122,House,3 Bedrooms,725,795,888,s,296,6.00%,16.48%,-28.57%,-46.43%
2122,House,4 or more Bedrooms,885,1125,1300,s,338,16.58%,23.63%,-26.83%,-28.57%
2122,Other,Total,630,745,750,s,206,19.20%,16.41%,75.00%,40.00%
2122,Other,Bedsitter,-,-,-,-,-,-,-,-,-
2122,Other,1 Bedroom,-,-,-,-,s,-,-,-,-
2122,Other,Not Specified,-,-,-,-,s,-,-,-,-
2122,Other,2 Bedrooms,-,-,-,-,73,-,-,-,-
2122,Other,3 Bedrooms,-,-,-,-,66,-,-,-,-
2122,Other,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2122,Townhouse,Total,620,700,800,57,821,7.69%,27.27%,-19.72%,-17.39%
2122,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-
2122,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
2122,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
2122,Townhouse,2 Bedrooms,600,635,673,s,453,9.48%,24.51%,-9.68%,-24.32%
2122,Townhouse,3 Bedrooms,763,800,850,s,278,10.34%,18.96%,-17.86%,4.55%
2122,Townhouse,4 or more Bedrooms,-,-,-,-,77,-,-,-,-
2122,Flat/Unit,Total,530,600,700,122,"1,752",13.21%,33.33%,-14.08%,-18.12%
2122,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-
2122,Flat/Unit,1 Bedroom,446,515,598,s,306,5.10%,14.44%,-23.08%,-42.86%
2122,Flat/Unit,Not Specified,-,-,-,-,s,-,-,-,-
2122,Flat/Unit,2 Bedrooms,540,600,720,87,"1,213",15.38%,33.33%,-7.45%,-13.86%
2122,Flat/Unit,3 Bedrooms,649,695,835,s,183,-7.33%,12.55%,-29.41%,.00%
2122,Flat/Unit,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2125,Total,Total,480,775,1000,54,639,-4.32%,-7.74%,-8.47%,5.88%
2125,Total,Bedsitter,-,-,-,-,-,-,-,-,-
2125,Total,1 Bedroom,-,-,-,-,67,-,-,-,-
2125,Total,Not Specified,-,-,-,-,s,-,-,-,-
2125,Total,2 Bedrooms,-,-,-,-,78,-,-,-,-
2125,Total,3 Bedrooms,683,750,815,s,164,-6.25%,-3.85%,120.00%,-8.33%
2125,Total,4 or more Bedrooms,915,1100,1331,s,312,4.76%,-8.33%,-7.69%,-25.00%
2125,House,Total,833,950,1253,32,419,3.26%,-5.00%,-34.69%,-20.00%
2125,House,Bedsitter,-,-,-,-,-,-,-,-,-
2125,House,1 Bedroom,-,-,-,-,-,-,-,-,-
2125,House,Not Specified,-,-,-,-,-,-,-,-,-
2125,House,2 Bedrooms,-,-,-,-,s,-,-,-,-
2125,House,3 Bedrooms,-,-,-,-,101,-,-,-,-
2125,House,4 or more Bedrooms,915,1100,1331,s,293,4.76%,-8.33%,-7.69%,-20.00%
2125,Other,Total,-,-,-,-,32,-,-,-,-
2125,Other,1 Bedroom,-,-,-,-,-,-,-,-,-
2125,Other,Not Specified,-,-,-,-,-,-,-,-,-
2125,Other,2 Bedrooms,-,-,-,-,-,-,-,-,-
2125,Other,3 Bedrooms,-,-,-,-,-,-,-,-,-
2125,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2125,Townhouse,Total,-,-,-,-,66,-,-,-,-
2125,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-
2125,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
2125,Townhouse,2 Bedrooms,-,-,-,-,-,-,-,-,-
2125,Townhouse,3 Bedrooms,-,-,-,-,47,-,-,-,-
2125,Townhouse,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
2125,Flat/Unit,Total,210,221,480,s,122,-52.72%,-44.59%,183.33%,325.00%
2125,Flat/Unit,1 Bedroom,-,-,-,-,55,-,-,-,-
2125,Flat/Unit,Not Specified,-,-,-,-,-,-,-,-,-
2125,Flat/Unit,2 Bedrooms,-,-,-,-,52,-,-,-,-
2125,Flat/Unit,3 Bedrooms,-,-,-,-,-,-,-,-,-
2125,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2126,Total,Total,800,900,1050,64,835,1.12%,5.88%,-9.86%,-7.25%
2126,Total,1 Bedroom,-,-,-,-,s,-,-,-,-
2126,Total,Not Specified,-,-,-,-,s,-,-,-,-
2126,Total,2 Bedrooms,-,-,-,-,52,-,-,-,-
2126,Total,3 Bedrooms,788,850,880,s,261,4.94%,18.06%,100.00%,5.26%
2126,Total,4 or more Bedrooms,915,1000,1100,38,476,3.63%,5.26%,26.67%,.00%
2126,House,Total,850,980,1050,49,579,8.89%,8.89%,-22.22%,-2.00%
2126,House,1 Bedroom,-,-,-,-,-,-,-,-,-
2126,House,Not Specified,-,-,-,-,s,-,-,-,-
2126,House,2 Bedrooms,-,-,-,-,s,-,-,-,-
2126,House,3 Bedrooms,-,-,-,-,109,-,-,-,-
2126,House,4 or more Bedrooms,915,1000,1100,37,442,2.04%,5.26%,37.04%,.00%
2126,Other,Total,-,-,-,-,60,-,-,-,-
2126,Other,1 Bedroom,-,-,-,-,-,-,-,-,-
2126,Other,Not Specified,-,-,-,-,s,-,-,-,-
2126,Other,2 Bedrooms,-,-,-,-,-,-,-,-,-
2126,Other,3 Bedrooms,-,-,-,-,s,-,-,-,-
2126,Other,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
