Postcode,Dwelling Types,Number of Bedrooms,"First Quartile Weekly Rent for New Bonds
$","Median Weekly Rent for New Bonds
$","Third Quartile Weekly Rent for New Bonds
$","New Bonds Lodged
No.","Total Bonds Held
No.",Quarterly change in Median Weekly Rent,Annual change in Median Weekly Rent,Quarterly change in New Bonds Lodged,Annual change in New Bonds Lodged
2031,Total,1 Bedroom,570,640,700,133,"1,489",3.23%,21.90%,25.47%,-19.39%
2031,Total,2 Bedrooms,700,760,850,292,"4,224",-5.00%,16.92%,14.96%,-15.85%
2031,Total,3 Bedrooms,1050,1233,1455,48,804,.20%,29.74%,-2.04%,-18.64%
2031,Total,4 or more Bedrooms,1500,1800,2138,s,232,-10.00%,14.47%,4.35%,.00%
2031,House,Total,838,1300,1763,52,611,57.58%,28.40%,-71.27%,13.04%
2031,House,3 Bedrooms,1063,1300,1388,s,174,-7.14%,10.17%,27.27%,75.00%
2031,House,4 or more Bedrooms,1550,1850,2250,s,175,-10.84%,17.65%,16.67%,16.67%
2031,Flat/Unit,Total,675,750,850,439,"5,890",.00%,20.97%,6.55%,-18.70%
2031,Flat/Unit,1 Bedroom,583,650,714,124,"1,366",4.00%,24.40%,21.57%,-21.52%
2031,Flat/Unit,2 Bedrooms,700,750,850,277,"3,857",-6.25%,15.38%,19.91%,-14.24%
2031,Flat/Unit,3 Bedrooms,1050,1150,1343,s,500,4.55%,24.32%,-12.50%,-36.36%
2032,Total,Total,530,720,900,293,"3,050",2.86%,30.91%,-22.49%,-9.29%
2032,Total,Bedsitter,530,530,530,s,155,6.00%,15.22%,-48.21%,-23.68%
2032,Total,1 Bedroom,370,450,515,66,565,9.76%,12.50%,34.69%,1.54%
2032,Total,2 Bedrooms,680,740,820,123,"1,437",-7.50%,29.26%,5.13%,-6.82%
2032,Total,3 Bedrooms,930,1050,1200,53,564,-4.55%,28.05%,-11.67%,-7.02%
2032,Total,4 or more Bedrooms,1350,1540,1700,s,189,4.41%,40.00%,50.00%,-19.23%
2032,House,Total,673,978,1543,40,448,32.99%,.77%,-63.64%,-13.04%
2032,House,4 or more Bedrooms,1393,1575,1700,s,129,5.00%,26.00%,260.00%,5.88%
2032,Other,Total,530,530,535,s,281,6.00%,15.22%,-35.71%,-30.77%
2032,Other,Bedsitter,530,530,530,s,85,6.00%,15.22%,-25.93%,-9.09%
2032,Townhouse,Total,864,950,1119,s,166,.00%,18.75%,16.67%,100.00%
2032,Flat/Unit,Total,538,715,850,212,"2,155",-2.72%,30.00%,-.93%,-8.23%
2032,Flat/Unit,1 Bedroom,393,450,520,55,478,2.86%,9.76%,71.88%,12.24%
2032,Flat/Unit,2 Bedrooms,683,750,820,114,"1,250",-6.25%,33.93%,18.75%,-5.79%
2032,Flat/Unit,3 Bedrooms,938,1138,1239,32,274,3.41%,42.19%,-3.03%,-11.11%
2033,Total,Total,616,750,900,186,"2,593",7.14%,32.74%,-31.62%,-28.19%
2033,Total,1 Bedroom,510,585,650,50,652,.86%,17.00%,11.11%,-29.58%
2033,Total,2 Bedrooms,700,765,825,85,"1,351",2.00%,27.50%,-2.30%,-37.96%
2033,Total,3 Bedrooms,900,1100,1300,32,335,-5.58%,25.71%,6.67%,6.67%
2033,Total,4 or more Bedrooms,783,1325,1675,s,123,-11.67%,55.88%,9.09%,33.33%
2033,House,Total,625,950,1300,33,267,35.71%,11.76%,-64.89%,94.12%
2033,House,3 Bedrooms,1113,1250,1310,s,90,.00%,25.63%,71.43%,71.43%
2033,Flat/Unit,Total,620,725,838,146,"2,120",2.84%,30.63%,-7.01%,-37.61%
2033,Flat/Unit,1 Bedroom,550,600,671,42,603,3.45%,20.60%,5.00%,-38.24%
2033,Flat/Unit,2 Bedrooms,700,765,826,80,"1,241",-1.29%,27.50%,1.27%,-39.39%
2033,Flat/Unit,3 Bedrooms,900,1000,1288,s,209,-13.04%,14.29%,5.88%,-10.00%
2034,Total,Total,750,860,1150,325,"4,097",-1.71%,22.86%,3.50%,-18.75%
2034,Total,1 Bedroom,600,650,740,67,715,-4.06%,18.18%,59.52%,-22.99%
2034,Total,2 Bedrooms,798,865,1000,183,"2,385",.29%,23.57%,36.57%,-19.74%
2034,Total,3 Bedrooms,1093,1228,1388,50,661,-5.58%,11.59%,25.00%,-19.35%
2034,Total,4 or more Bedrooms,1800,1975,2500,s,180,-8.56%,31.67%,29.41%,46.67%
2034,House,Total,900,1400,1850,37,365,47.37%,7.69%,-55.95%,32.14%
2034,House,4 or more Bedrooms,1700,1850,2500,s,137,-15.91%,19.35%,111.11%,46.15%
2034,Flat/Unit,Total,750,850,1003,283,"3,443",.00%,22.30%,29.22%,-20.73%
2034,Flat/Unit,1 Bedroom,600,650,750,63,663,-5.80%,18.18%,65.79%,-26.74%
2034,Flat/Unit,2 Bedrooms,791,870,1000,174,"2,198",1.16%,24.29%,41.46%,-21.27%
2034,Flat/Unit,3 Bedrooms,1060,1203,1350,42,487,.21%,9.32%,61.54%,-8.70%
2035,Total,Total,633,800,950,394,"4,844",3.23%,23.08%,-7.29%,-14.53%
2035,Total,1 Bedroom,480,580,650,103,902,2.20%,14.85%,28.75%,7.29%
2035,Total,2 Bedrooms,720,800,850,176,"2,483",.00%,23.08%,35.38%,-27.27%
2035,Total,3 Bedrooms,950,1100,1250,76,888,1.85%,25.00%,18.75%,-8.43%
2035,Total,4 or more Bedrooms,1395,1700,2025,s,353,4.62%,28.30%,-12.50%,-12.50%
2035,House,Total,850,1200,1500,74,860,41.18%,26.98%,-54.88%,-7.50%
2035,House,2 Bedrooms,750,840,895,s,188,-2.33%,8.39%,50.00%,-14.29%
2035,House,3 Bedrooms,1050,1250,1400,s,329,13.64%,31.58%,-7.41%,-7.41%
2035,House,4 or more Bedrooms,1500,1900,2100,s,295,13.43%,46.15%,-11.54%,-14.81%
2035,Townhouse,Total,890,1000,1150,s,375,.00%,16.62%,-8.00%,-39.47%
2035,Townhouse,3 Bedrooms,988,1035,1213,s,216,7.81%,15.64%,14.29%,-30.43%
2035,Flat/Unit,Total,620,750,850,288,"3,379",4.90%,25.00%,29.73%,-13.77%
2035,Flat/Unit,1 Bedroom,500,590,650,93,839,1.72%,15.12%,34.78%,3.33%
2035,Flat/Unit,2 Bedrooms,720,800,850,152,"2,117",.00%,25.00%,35.71%,-25.85%
2035,Flat/Unit,3 Bedrooms,900,1000,1125,35,318,-4.76%,20.48%,52.17%,12.90%
2036,Total,Total,720,870,1050,385,"4,250",4.82%,24.29%,-4.94%,-5.17%
2036,Total,1 Bedroom,663,730,750,82,787,4.29%,21.67%,20.59%,1.23%
2036,Total,2 Bedrooms,700,870,938,178,"1,989",5.45%,24.29%,7.88%,-1.11%
2036,Total,3 Bedrooms,940,1150,1300,83,995,-2.54%,17.35%,22.06%,-13.54%
2036,Total,4 or more Bedrooms,1300,1450,1650,38,381,-9.37%,5.07%,15.15%,-15.56%
2036,House,Total,980,1150,1450,53,632,21.05%,-4.17%,-49.04%,-14.52%
2036,House,3 Bedrooms,1013,1125,1323,s,245,13.64%,-6.25%,175.00%,10.00%
2036,House,4 or more Bedrooms,1250,1450,1650,s,274,-9.37%,8.21%,-25.00%,-38.24%
2036,Townhouse,Total,1040,1350,1575,s,295,-4.59%,20.00%,137.50%,18.75%
2036,Flat/Unit,Total,700,820,950,312,"3,200",2.50%,26.15%,9.86%,-3.70%
2036,Flat/Unit,1 Bedroom,668,730,750,80,750,4.29%,21.67%,33.33%,2.56%
2036,Flat/Unit,2 Bedrooms,703,870,938,170,"1,827",4.82%,24.29%,11.84%,.00%
2036,Flat/Unit,3 Bedrooms,750,1200,1300,51,556,.00%,26.32%,.00%,-25.00%
2037,Total,Total,550,669,900,466,"4,186",-10.80%,11.50%,-3.52%,-2.51%
2037,Total,Bedsitter,360,420,450,s,281,5.00%,29.23%,-32.26%,-55.32%
2037,Total,1 Bedroom,450,629,679,277,"1,676",-.16%,32.42%,128.93%,39.90%
2037,Total,2 Bedrooms,750,900,1050,102,"1,376",3.75%,23.29%,-7.27%,-32.00%
2037,Total,3 Bedrooms,988,1150,1400,47,505,3.14%,17.35%,11.90%,-25.40%
2037,Total,4 or more Bedrooms,1175,1270,1444,s,169,-4.15%,5.39%,-38.46%,-11.11%
2037,House,Total,743,955,1200,60,636,8.52%,12.35%,-73.33%,-1.64%
2037,House,2 Bedrooms,765,850,898,s,179,-1.16%,21.43%,-52.17%,-35.29%
2037,House,3 Bedrooms,976,1095,1238,s,217,-.45%,18.38%,13.04%,4.00%
2037,Other,Total,399,629,659,138,449,74.72%,37.64%,711.76%,305.88%
2037,Other,1 Bedroom,399,629,659,133,222,42.95%,.00%,1800.00%,478.26%
2037,Townhouse,Total,850,985,1188,s,337,-16.17%,-1.50%,-13.33%,-46.94%
2037,Townhouse,2 Bedrooms,750,850,970,s,112,13.33%,12.21%,50.00%,-25.00%
2037,Townhouse,3 Bedrooms,985,1100,1475,s,139,-1.79%,4.76%,.00%,-54.17%
2037,Flat/Unit,Total,575,700,945,242,"2,764",1.45%,33.33%,14.69%,-27.54%
2037,Flat/Unit,Bedsitter,410,450,488,s,181,7.14%,28.57%,-28.57%,-57.14%
2037,Flat/Unit,1 Bedroom,518,650,720,135,"1,337",.00%,41.30%,40.63%,-18.18%
2037,Flat/Unit,2 Bedrooms,750,975,1085,79,"1,047",8.33%,30.00%,2.60%,-32.48%
2038,Total,Total,395,600,990,150,"1,716",-16.67%,14.29%,-7.41%,-1.96%
2038,Total,Bedsitter,326,378,394,s,134,7.86%,26.89%,100.00%,16.67%
2038,Total,1 Bedroom,350,438,560,64,540,4.17%,13.64%,56.10%,14.29%
2038,Total,2 Bedrooms,600,785,880,33,524,2.61%,9.79%,17.86%,-38.89%
2038,Total,3 Bedrooms,1050,1190,1300,s,300,8.18%,19.00%,16.00%,52.63%
2038,House,Total,838,1010,1300,48,541,24.69%,15.43%,-46.67%,9.09%
2038,House,2 Bedrooms,813,850,950,s,186,3.34%,11.84%,16.67%,-33.33%
2038,House,3 Bedrooms,1001,1195,1288,s,209,8.64%,8.64%,5.88%,28.57%
2038,Townhouse,Total,780,1050,1175,s,173,23.53%,19.32%,-16.67%,36.36%
2038,Flat/Unit,Total,380,480,600,81,821,-14.29%,20.00%,62.00%,-16.49%
2038,Flat/Unit,1 Bedroom,370,448,560,52,449,-2.72%,16.99%,85.71%,-3.70%
2038,Flat/Unit,2 Bedrooms,560,600,678,s,238,-20.00%,2.56%,15.38%,-40.00%
2039,Total,Total,630,790,985,123,"1,463",.00%,8.97%,-10.22%,-19.61%
2039,Total,1 Bedroom,450,590,740,47,455,-.84%,20.41%,147.37%,-11.32%
2039,Total,2 Bedrooms,758,850,958,50,549,6.25%,9.32%,100.00%,-3.85%
2039,Total,3 Bedrooms,1023,1350,1538,s,311,18.94%,34.33%,-17.39%,-40.62%
2039,House,Total,765,820,988,35,462,2.50%,-6.02%,-62.77%,-32.69%
2039,House,2 Bedrooms,695,800,850,s,170,.00%,6.67%,112.50%,-10.53%
2039,Townhouse,Total,763,858,1046,s,118,12.09%,7.86%,250.00%,100.00%
2039,Flat/Unit,Total,530,730,960,73,828,8.96%,32.73%,92.11%,-20.65%
2039,Flat/Unit,1 Bedroom,438,583,685,40,395,.87%,19.49%,185.71%,-16.67%
2039,Flat/Unit,2 Bedrooms,831,950,1021,s,303,7.95%,17.28%,73.33%,-7.14%
2040,Total,Total,585,800,993,203,"3,246",2.56%,20.30%,-33.22%,-26.45%
2040,Total,1 Bedroom,423,500,579,46,699,-3.85%,17.65%,-9.80%,-32.35%
2040,Total,2 Bedrooms,695,780,850,73,"1,352",4.00%,20.00%,-16.09%,-27.72%
2040,Total,3 Bedrooms,908,1000,1196,56,781,5.26%,11.73%,14.29%,-18.84%
2040,Total,4 or more Bedrooms,1075,1350,1450,s,198,-2.53%,8.00%,58.33%,-24.00%
2040,House,Total,800,950,1195,104,"1,235",11.76%,9.83%,-39.88%,-8.77%
2040,House,2 Bedrooms,779,800,850,32,432,.00%,11.11%,52.38%,-5.88%
2040,House,3 Bedrooms,938,1050,1200,47,527,8.25%,16.67%,27.03%,-7.84%
2040,House,4 or more Bedrooms,1100,1350,1525,s,167,-3.57%,8.00%,45.45%,-30.43%
2040,Townhouse,Total,816,930,1050,s,413,12.73%,24.00%,-45.45%,-68.42%
2040,Flat/Unit,Total,480,600,700,81,"1,364",.00%,20.00%,-23.58%,-30.77%
2040,Flat/Unit,1 Bedroom,408,493,600,36,575,-8.80%,15.88%,-12.20%,-42.86%
2040,Flat/Unit,2 Bedrooms,600,698,785,36,642,.00%,22.91%,-28.00%,-14.29%
2041,Total,Total,700,833,1100,186,"2,457",4.06%,15.63%,-9.27%,-18.42%
2041,Total,1 Bedroom,480,625,750,45,630,28.87%,17.92%,87.50%,-28.57%
2041,Total,2 Bedrooms,750,800,898,78,"1,037",.00%,9.59%,77.27%,-17.02%
2041,Total,3 Bedrooms,990,1200,1500,45,476,-11.11%,4.35%,60.71%,-4.26%
2041,Total,4 or more Bedrooms,1500,1750,2038,s,118,-7.89%,20.69%,-6.67%,27.27%
2041,House,Total,800,1073,1488,78,765,21.88%,22.57%,-48.00%,-3.70%
2041,House,2 Bedrooms,750,800,935,s,290,-6.43%,.00%,61.11%,-6.45%
2041,House,3 Bedrooms,1100,1225,1500,s,273,-9.26%,11.36%,50.00%,-6.25%
2041,House,4 or more Bedrooms,1500,1600,2050,s,104,-14.67%,10.34%,-7.14%,30.00%
2041,Townhouse,Total,836,1000,1288,s,251,6.38%,-2.44%,60.00%,-11.11%
2041,Flat/Unit,Total,645,780,850,84,"1,267",15.56%,30.54%,90.91%,-30.00%
2041,Flat/Unit,1 Bedroom,514,663,776,36,504,33.84%,25.00%,200.00%,-35.71%
2041,Flat/Unit,2 Bedrooms,758,800,875,38,613,5.26%,11.89%,65.22%,-26.92%
2042,Total,Total,476,650,898,394,"4,852",-5.80%,9.24%,-1.25%,-15.81%
2042,Total,Bedsitter,350,420,460,45,421,12.00%,31.25%,87.50%,-11.76%
2042,Total,1 Bedroom,400,500,598,147,"1,501",6.38%,19.05%,34.86%,-5.16%
2042,Total,2 Bedrooms,710,795,865,115,"1,508",5.30%,14.39%,47.44%,-24.84%
2042,Total,3 Bedrooms,950,1050,1200,54,752,5.00%,17.98%,-6.90%,-23.94%
2042,Total,4 or more Bedrooms,1225,1350,1463,s,275,-10.00%,17.39%,55.56%,-3.45%
2042,House,Total,700,900,1175,127,"1,383",10.43%,15.38%,-39.81%,-26.59%
2042,House,1 Bedroom,360,480,570,s,147,6.67%,29.73%,.00%,38.89%
2042,House,2 Bedrooms,750,825,900,45,545,1.85%,14.58%,55.17%,-42.31%
2042,House,3 Bedrooms,993,1078,1200,34,454,2.62%,15.24%,-20.93%,-34.62%
2042,House,4 or more Bedrooms,1278,1350,1488,s,203,-10.00%,14.89%,37.50%,-8.33%
2042,Other,Total,328,390,453,s,619,-9.30%,34.48%,17.65%,-55.56%
2042,Other,Bedsitter,260,355,400,s,131,18.33%,18.33%,50.00%,-47.83%
2042,Townhouse,Total,773,895,1050,42,477,11.87%,21.77%,223.08%,50.00%
2042,Townhouse,2 Bedrooms,795,860,900,s,214,8.18%,19.44%,142.86%,13.33%
2042,Townhouse,3 Bedrooms,918,1050,1250,s,166,6.06%,10.53%,250.00%,55.56%
2042,Flat/Unit,Total,450,550,675,205,"2,373",.00%,14.58%,29.75%,-7.66%
2042,Flat/Unit,Bedsitter,370,430,480,32,266,12.42%,26.47%,100.00%,18.52%
2042,Flat/Unit,1 Bedroom,406,508,599,110,"1,198",5.73%,20.83%,32.53%,-9.84%
2042,Flat/Unit,2 Bedrooms,645,750,813,52,704,7.14%,20.97%,30.00%,-11.86%
2043,Total,Total,720,830,970,217,"2,178",9.21%,18.57%,.93%,4.83%
2043,Total,Bedsitter,750,865,950,s,212,21.40%,44.17%,28.57%,-37.93%
2043,Total,1 Bedroom,640,700,750,77,638,7.69%,25.00%,48.08%,40.00%
2043,Total,2 Bedrooms,824,900,980,92,956,4.65%,20.00%,46.03%,3.37%
2043,Total,3 Bedrooms,1070,1200,1300,s,227,20.00%,9.09%,23.53%,-8.70%
2043,House,Total,750,850,980,42,420,14.86%,11.84%,-60.75%,-14.29%
2043,House,2 Bedrooms,760,840,880,s,205,12.00%,22.18%,31.58%,4.17%
2043,Townhouse,Total,843,1150,1400,s,158,15.00%,49.84%,157.14%,50.00%
2043,Flat/Unit,Total,700,778,950,154,"1,502",-2.20%,17.80%,55.56%,10.00%
2043,Flat/Unit,Bedsitter,750,865,950,s,195,21.83%,45.38%,50.00%,-35.71%
2043,Flat/Unit,1 Bedroom,640,700,750,69,582,7.69%,25.00%,76.92%,38.00%
2043,Flat/Unit,2 Bedrooms,900,950,1000,60,640,5.56%,23.38%,46.34%,9.09%
2044,Total,Total,693,850,1000,78,"1,209",-4.49%,21.43%,-53.57%,-35.00%
2044,Total,1 Bedroom,350,520,620,s,235,-18.75%,7.22%,-38.10%,-40.91%
2044,Total,2 Bedrooms,738,825,931,s,464,-7.30%,19.57%,-54.84%,-34.88%
2044,Total,3 Bedrooms,850,990,1053,s,299,-10.00%,30.26%,-8.00%,-37.84%
2044,Total,4 or more Bedrooms,1025,1300,1375,s,106,1.96%,6.12%,83.33%,-8.33%
2044,House,Total,700,875,1100,33,503,-2.78%,16.67%,-52.17%,-40.00%
2044,House,3 Bedrooms,800,950,1028,s,219,-9.52%,24.18%,7.14%,-50.00%
2044,Flat/Unit,Total,600,800,950,34,504,-8.05%,49.53%,-63.44%,-37.04%
2044,Flat/Unit,1 Bedroom,350,490,605,s,183,-22.83%,-5.77%,.00%,-36.84%
2044,Flat/Unit,2 Bedrooms,800,870,950,s,250,-2.25%,26.09%,-61.70%,-28.00%
2045,Total,Total,580,720,950,31,368,-20.00%,10.34%,-16.22%,29.17%
2045,Total,2 Bedrooms,544,605,668,s,152,3.42%,15.24%,100.00%,33.33%
2045,House,Total,788,950,1200,s,154,-13.64%,5.56%,-36.00%,33.33%
2045,Flat/Unit,Total,525,555,638,s,146,12.12%,27.59%,16.67%,40.00%
2045,Flat/Unit,2 Bedrooms,525,555,650,s,99,-2.63%,26.14%,71.43%,71.43%
2046,Total,Total,640,750,900,225,"3,216",4.17%,15.38%,-8.91%,-15.09%
2046,Total,1 Bedroom,580,600,640,33,305,9.09%,27.66%,65.00%,-15.38%
2046,Total,2 Bedrooms,650,700,800,117,"1,737",2.94%,12.90%,14.71%,-18.75%
2046,Total,3 Bedrooms,850,950,1265,50,820,7.95%,7.95%,-5.66%,-23.08%
2046,Total,4 or more Bedrooms,1200,1423,1700,s,206,1.61%,35.48%,53.85%,33.33%
2046,House,Total,800,1000,1395,61,797,18.34%,14.29%,-45.54%,-16.44%
2046,House,2 Bedrooms,680,780,899,s,177,12.23%,18.18%,16.67%,-26.32%
2046,House,3 Bedrooms,828,975,1338,s,391,8.33%,8.33%,-21.21%,-36.59%
2046,House,4 or more Bedrooms,1225,1450,1700,s,175,18.37%,26.09%,90.00%,58.33%
2046,Townhouse,Total,679,760,843,s,326,-2.56%,7.04%,.00%,.00%
2046,Townhouse,2 Bedrooms,693,720,810,s,165,-4.00%,2.86%,22.22%,10.00%
2046,Flat/Unit,Total,610,695,800,137,"1,940",2.96%,19.83%,19.13%,-16.97%
2046,Flat/Unit,1 Bedroom,600,600,640,s,267,9.09%,20.00%,75.00%,-15.15%
2046,Flat/Unit,2 Bedrooms,635,700,795,91,"1,338",2.94%,16.67%,12.35%,-19.47%
2046,Flat/Unit,3 Bedrooms,850,900,1135,s,270,9.76%,15.38%,7.14%,-6.25%
2047,Total,Total,636,750,901,148,"1,846",.00%,19.05%,-11.38%,-12.43%
2047,Total,1 Bedroom,500,620,650,s,182,8.77%,31.91%,30.77%,-22.73%
2047,Total,2 Bedrooms,621,750,849,94,"1,047",7.14%,25.52%,40.30%,6.82%
2047,Total,3 Bedrooms,890,995,1250,s,420,4.74%,10.56%,-30.77%,-34.15%
2047,House,Total,750,890,1300,s,267,11.25%,1.71%,-66.10%,-16.67%
2047,Flat/Unit,Total,620,750,860,115,"1,380",5.63%,25.00%,11.65%,-13.53%
2047,Flat/Unit,1 Bedroom,495,635,650,s,168,11.40%,41.11%,7.69%,-33.33%
2047,Flat/Unit,2 Bedrooms,608,715,820,80,901,2.14%,21.19%,31.15%,-1.23%
2047,Flat/Unit,3 Bedrooms,828,950,1050,s,254,.00%,5.56%,-30.77%,-37.93%
2048,Total,Total,473,640,933,91,"1,547",6.67%,16.36%,-37.24%,-36.36%
2048,Total,1 Bedroom,400,460,600,41,542,18.71%,9.52%,-2.38%,-18.00%
2048,Total,2 Bedrooms,630,700,850,s,529,6.87%,25.00%,-19.44%,-42.00%
2048,Total,3 Bedrooms,1000,1150,1220,s,249,12.20%,28.49%,-5.56%,-41.38%
2048,House,Total,838,980,1200,s,382,15.29%,9.50%,-58.21%,-34.88%
2048,House,3 Bedrooms,1000,1143,1215,s,182,8.81%,26.94%,-17.65%,-33.33%
2048,Flat/Unit,Total,455,580,650,55,936,9.43%,18.37%,-15.38%,-39.56%
2048,Flat/Unit,1 Bedroom,400,475,600,32,450,11.76%,13.10%,6.67%,-30.43%
2048,Flat/Unit,2 Bedrooms,585,663,744,s,403,6.85%,23.83%,-18.52%,-46.34%
2049,Total,Total,468,620,800,220,"2,772",-4.17%,24.00%,-29.94%,-12.00%
2049,Total,1 Bedroom,335,475,575,102,"1,001",-1.04%,21.79%,25.93%,-12.82%
2049,Total,Not Specified,525,633,770,s,204,-1.88%,80.82%,-89.52%,57.14%
2049,Total,2 Bedrooms,650,750,848,67,"1,080",11.94%,33.93%,-19.28%,-22.09%
2049,Total,3 Bedrooms,848,950,1050,s,288,.00%,16.92%,-7.69%,-7.69%
2049,House,Total,330,785,1009,52,482,.64%,-5.42%,-41.57%,44.44%
2049,House,1 Bedroom,280,305,330,s,61,-11.59%,38.64%,300.00%,566.67%
2049,House,2 Bedrooms,708,790,838,s,148,5.33%,11.27%,-21.43%,.00%
2049,House,3 Bedrooms,850,950,1050,s,162,-5.00%,7.04%,-35.29%,-8.33%
2049,Flat/Unit,Total,475,600,700,150,"1,901",1.27%,32.60%,-6.25%,-21.87%
2049,Flat/Unit,1 Bedroom,450,500,600,81,833,.00%,28.21%,10.96%,-23.58%
2049,Flat/Unit,2 Bedrooms,650,750,850,54,864,15.38%,36.36%,-19.40%,-27.03%
2050,Total,Total,621,750,879,202,"2,643",4.90%,25.00%,-38.97%,-24.06%
2050,Total,1 Bedroom,550,650,725,113,"1,166",8.33%,28.08%,6.60%,2.73%
2050,Total,2 Bedrooms,800,875,990,67,886,2.94%,25.00%,17.54%,-24.72%
2050,Total,3 Bedrooms,996,1150,1295,s,201,.00%,15.58%,27.27%,-39.13%
2050,House,Total,643,823,1075,36,391,2.81%,12.29%,-58.62%,-10.00%
2050,House,2 Bedrooms,795,825,905,s,167,-.60%,14.19%,54.55%,6.25%
2050,Flat/Unit,Total,620,725,830,157,"1,923",1.40%,21.85%,8.28%,-24.15%
2050,Flat/Unit,1 Bedroom,550,650,745,101,"1,040",.00%,22.64%,21.69%,3.06%
2050,Flat/Unit,2 Bedrooms,815,900,990,47,651,3.45%,28.57%,6.82%,-26.56%
2060,Total,Total,600,700,875,419,"4,473",.00%,11.11%,.72%,-8.11%
2060,Total,Bedsitter,433,500,583,s,264,8.11%,17.65%,92.86%,-12.90%
2060,Total,1 Bedroom,550,640,700,200,"1,785",6.67%,16.36%,43.88%,.00%
2060,Total,2 Bedrooms,750,825,920,133,"1,684",-2.94%,10.00%,37.11%,-18.90%
2060,Total,3 Bedrooms,1125,1200,1375,47,514,-11.11%,20.00%,51.61%,-9.62%
2060,House,Total,890,1200,1500,s,324,60.00%,27.66%,-81.88%,-16.67%
2060,House,3 Bedrooms,1195,1350,1520,s,104,.00%,40.63%,85.71%,8.33%
2060,Flat/Unit,Total,594,693,826,380,"3,844",2.59%,15.42%,44.49%,-6.40%
2060,Flat/Unit,Bedsitter,439,513,586,s,237,7.33%,20.59%,116.67%,-10.34%
2060,Flat/Unit,1 Bedroom,550,630,700,195,"1,704",5.00%,14.55%,50.00%,-1.02%
2060,Flat/Unit,2 Bedrooms,750,825,920,127,"1,510",-2.94%,10.74%,45.98%,-15.33%
2060,Flat/Unit,3 Bedrooms,1100,1200,1250,s,301,-7.69%,23.08%,58.82%,-3.57%
2061,Total,Total,650,753,1000,166,"1,959",.33%,11.90%,-7.26%,-13.54%
2061,Total,1 Bedroom,595,690,770,84,751,1.47%,18.97%,29.23%,2.44%
2061,Total,2 Bedrooms,756,940,1173,50,805,-6.00%,20.13%,16.28%,-37.50%
2061,Total,3 Bedrooms,1200,1295,1725,s,211,-13.38%,-3.36%,125.00%,-10.00%
2061,House,Total,755,1000,1295,s,87,33.33%,36.05%,-77.59%,116.67%
2061,Flat/Unit,Total,650,750,996,148,"1,769",.67%,11.52%,25.42%,-18.68%
2061,Flat/Unit,1 Bedroom,603,695,768,78,698,2.21%,19.83%,30.00%,-1.27%
2061,Flat/Unit,2 Bedrooms,750,950,1180,49,756,-5.00%,21.02%,25.64%,-34.67%
2061,Flat/Unit,3 Bedrooms,1200,1398,1688,s,187,-6.52%,3.52%,100.00%,-36.84%
2062,Total,Total,554,680,864,100,"1,290",.00%,15.25%,-15.97%,-13.79%
2062,Total,1 Bedroom,473,550,608,s,320,7.84%,11.11%,7.69%,-9.68%
2062,Total,2 Bedrooms,600,700,780,47,658,.36%,16.67%,23.68%,-24.19%
2062,Total,3 Bedrooms,900,950,1050,s,218,-2.06%,14.46%,41.67%,13.33%
2062,House,Total,800,1050,1150,s,165,52.17%,10.53%,-62.22%,13.33%
2062,Flat/Unit,Total,538,635,750,76,967,-2.31%,10.43%,15.15%,-16.48%
2062,Flat/Unit,1 Bedroom,480,550,630,s,290,2.80%,10.55%,8.70%,-10.71%
2062,Flat/Unit,2 Bedrooms,593,670,760,42,555,-3.94%,12.61%,23.53%,-23.64%
2063,Total,Total,665,1150,1550,33,423,22.34%,35.29%,-8.33%,-5.71%
2063,House,Total,1200,1550,1700,s,167,3.68%,19.23%,-26.09%,30.77%
2063,Flat/Unit,Total,588,680,795,s,220,-5.23%,-.73%,25.00%,-25.00%
2064,Total,Total,600,650,750,102,"1,615",.00%,15.04%,-33.33%,-27.14%
2064,Total,1 Bedroom,503,550,600,s,208,.00%,12.24%,26.67%,-36.67%
2064,Total,2 Bedrooms,630,650,700,63,"1,099",.00%,12.07%,-10.00%,-24.10%
2064,Total,3 Bedrooms,850,950,1100,s,188,5.56%,21.41%,45.45%,-11.11%
2064,House,Total,650,870,1300,s,120,25.18%,-17.14%,-74.00%,8.33%
2064,Flat/Unit,Total,600,650,700,79,"1,327",.00%,18.18%,-16.84%,-33.05%
2064,Flat/Unit,1 Bedroom,540,575,610,s,190,4.55%,17.35%,25.00%,-48.28%
2064,Flat/Unit,2 Bedrooms,630,650,696,56,967,.00%,13.04%,-17.65%,-26.32%
2065,Total,Total,650,800,1000,740,"7,728",.00%,33.33%,-25.93%,1.23%
2065,Total,Bedsitter,440,550,620,s,174,4.27%,30.95%,-15.00%,-10.53%
2065,Total,1 Bedroom,550,650,720,253,"2,666",.00%,30.00%,-13.36%,-9.64%
2065,Total,2 Bedrooms,740,883,1029,346,"3,357",-11.75%,28.83%,6.79%,9.49%
2065,Total,3 Bedrooms,988,1200,1400,104,"1,142",.63%,20.00%,15.56%,5.05%
2065,Total,4 or more Bedrooms,1269,1500,1833,s,188,-10.18%,-9.09%,50.00%,20.00%
2065,House,Total,816,1000,1200,70,702,33.33%,1.01%,-76.35%,11.11%
2065,House,2 Bedrooms,833,900,1000,s,183,9.76%,13.92%,58.82%,42.11%
