Postcode,Dwelling Types,Number of Bedrooms,"First Quartile Weekly Rent for New Bonds
$","Median Weekly Rent for New Bonds
$","Third Quartile Weekly Rent for New Bonds
$","New Bonds Lodged
No.","Total Bonds Held
No.",Quarterly change in Median Weekly Rent,Annual change in Median Weekly Rent,Quarterly change in New Bonds Lodged,Annual change in New Bonds Lodged
2010,Other,Total,69,111,475,s,712,-77.53%,-65.77%,100.00%,60.00%
2010,Other,Bedsitter,61,73,108,s,162,3.57%,-73.64%,366.67%,75.00%
2010,Townhouse,Total,888,1100,1213,32,520,8.91%,27.54%,33.33%,-20.00%
2010,Townhouse,2 Bedrooms,831,900,1106,s,206,11.46%,8.76%,50.00%,.00%
2010,Townhouse,3 Bedrooms,1100,1175,1225,s,161,-2.08%,29.12%,50.00%,9.09%
2010,Flat/Unit,Total,560,695,850,626,"6,529",2.96%,19.83%,18.34%,-5.86%
2010,Flat/Unit,Bedsitter,404,458,539,52,545,1.67%,22.82%,23.81%,.00%
2010,Flat/Unit,1 Bedroom,548,650,750,400,"3,727",3.17%,23.81%,24.22%,-3.61%
2010,Flat/Unit,2 Bedrooms,800,900,1100,161,"1,847",-5.26%,9.76%,50.47%,-6.40%
2010,Flat/Unit,3 Bedrooms,1100,1300,1600,s,187,4.00%,4.00%,-23.53%,-31.58%
2011,Total,Total,475,620,830,621,"7,801",-4.32%,19.23%,-7.45%,-19.77%
2011,Total,Bedsitter,400,450,480,100,"1,388",1.12%,25.00%,42.86%,-42.53%
2011,Total,1 Bedroom,495,595,710,365,"3,734",2.59%,16.67%,20.46%,-12.05%
2011,Total,2 Bedrooms,850,975,1150,125,"1,800",8.33%,18.18%,6.84%,-16.67%
2011,Total,3 Bedrooms,990,1200,1500,s,300,-4.00%,14.29%,31.25%,-22.22%
2011,House,Total,530,838,960,32,392,19.64%,17.96%,-82.42%,14.29%
2011,House,1 Bedroom,500,600,804,s,148,-11.11%,6.19%,-21.74%,50.00%
2011,Other,Total,60,65,460,s,624,-84.88%,18.18%,-38.10%,-18.75%
2011,Flat/Unit,Total,480,605,820,573,"6,694",-.82%,18.63%,23.76%,-20.86%
2011,Flat/Unit,Bedsitter,400,450,483,92,"1,123",.00%,25.00%,91.67%,-42.50%
